ACO_ID,ACO_Name,Payment_Use,General_Spend_Category,General_Spend_Subcategory,Total_AIP_Funding_Received_through_December_2025,Projected_Spending_2024,Actual_Spending_2024,Projected_Spending_2025,Actual_Spending_2025,Projected_Spending_2026,Actual_Spending_2026
A5911,Midwest Care Partners ACO LLC,Care Coordination,Increased Staffing,Case manager, ,,,,,60000,
A5911,Midwest Care Partners ACO LLC,Program Administration,Increased Staffing,"Other staff education (explain in ""Payment Use"")", ,,,,,40000,
A5911,Midwest Care Partners ACO LLC,Chart Prep Automation,Health Care Infrastructure,Investment in certified electronic health record technology (CEHRT), ,,,,,67736,
A5911,Midwest Care Partners ACO LLC,Digital Diagnostics,Health Care Infrastructure,"IT-enabled screening tools, including for social needs", ,,,,,40000,
A5911,Midwest Care Partners ACO LLC,Behavioral Health Care Management,Increased Staffing,Licensed Clinical Social Worker, ,,,,,110000,
A5911,Midwest Care Partners ACO LLC,Care Management,Increased Staffing,Case manager, ,,,,,220000,
A5944,Clarity ACO LLC,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A
A5944,Clarity ACO LLC,Care Coordinator,Increased Staffing,Case manager, ,,,,,46392,
A5944,Clarity ACO LLC,"Beneficiary incentives for prevention and care coordination, comprehensive assesments, transportation to appointments",Provision of Accountable Care for Underserved Beneficiaries,Social care coordination, ,,,,,160000,
A5944,Clarity ACO LLC,HIE- Collective Medical /Patient Ping value based care solution and access to live continuity of care information via ADT feed,Health Care Infrastructure,Health information exchange and health information network participation, ,,,,,100000,
A5944,Clarity ACO LLC,Analytics platform for SDOH and high-risk patient care coordination,Health Care Infrastructure,"IT-enabled screening tools, including for social needs", ,,,,,300000,
A5944,Clarity ACO LLC,Comprehensive Assessments,Increased Staffing,"Physician assistant, nurse practitioner, or clinical nurse specialist", ,,,,,250000,
A5944,Clarity ACO LLC,"Compensate and Train physicians to assess and document SDOH, and preventive care needs on a per beneficiary basis",Increased Staffing,"Physician assistant, nurse practitioner, or clinical nurse specialist", ,,,,,250000,
A5946,Elite Healthcare LLC,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A
A5946,Elite Healthcare LLC,"Beneficiary incentives for prevention and care coordination, comprehensive assesments, transportation to appointments",Provision of Accountable Care for Underserved Beneficiaries,Comprehensive assessments, ,,,,,100000,
A5946,Elite Healthcare LLC,Analytics platform for SDOH and high-risk patient care coordination,Health Care Infrastructure,"IT-enabled screening tools, including for social needs", ,,,,,200000,
A5946,Elite Healthcare LLC,Comprehensive Assessments,Increased Staffing,"Physician assistant, nurse practitioner, or clinical nurse specialist", ,,,,,175000,
A5946,Elite Healthcare LLC,"Compensate and Train physicians to assess and document SDOH, and preventive care needs on a per beneficiary basis",Increased Staffing,"Physician assistant, nurse practitioner, or clinical nurse specialist", ,,,,,144376,
A5959,Healthbridge LLC,N/A,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A
A5959,Healthbridge LLC,HIE- Collective Medical /Patient Ping value based care solution and access to live continuity of care information via ADT feed,Health Care Infrastructure,Health information exchange and health information network participation, ,,,,,75000,
A5959,Healthbridge LLC,"Beneficiary incentives for prevention and care coordination, comprehensive assesments, transportation to appointments",Provision of Accountable Care for Underserved Beneficiaries,Social care coordination, ,,,,,150000,
A5959,Healthbridge LLC,Analytics platform for SDOH and high-risk patient care coordination,Health Care Infrastructure,"IT-enabled screening tools, including for social needs",  ,,,,,250000,
A5959,Healthbridge LLC,Comprehensive Assessments,Provision of Accountable Care for Underserved Beneficiaries,Comprehensive assessments, ,,,,,250000,
A5959,Healthbridge LLC,"Compensate and Train physicians to assess and document SDOH, and preventive care needs on a per beneficiary basis",Increased Staffing,"Physician assistant, nurse practitioner, or clinical nurse specialist", ,,,,,250000,
,,,,, ,,,,,,
