"ENROLLMENT ID","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","TELEPHONE NUMBER"
O20100129000008,930 S SALINA ST,,SYRACUSE,NY,132023530,3154767921
O20100802000076,300 WEST AVE,,BROCKPORT,NY,144201118,5856373905218
O20101004000914,8527 SEPULVEDA BLVD,,NORTH HILLS,CA,913435824,8188303100
O20101105000714,2700 BAKER ST,FL 3,MUSKEGON,MI,494442157,2317371335
O20101122000998,1925 SUPPRESS RD N,,TILLAMOOK,OR,971419296,5038423900
O20110523000872,6511 E RIVERSIDE AVE,,SPOKANE VALLEY,WA,992120847,5094448200
O20141112002250,2650 WIGWAM DR,UNIT 0,STOCKTON,CA,952052872,2099405600
