HOSP_ID,ADM_DISC,RATE,INTERVAL_LOWER_LIMIT,INTERVAL_HIGHER_LIMIT,START_QUARTER,START_DATE,END_QUARTER,END_DATE
500141,698,11.54,3.69,19.4,3Q2013,07/01/2013,2Q2015,06/30/2015
500148,224,11.16,0,23.1,3Q2013,07/01/2013,2Q2015,06/30/2015
500150,935,13.04,5.42,20.66,3Q2013,07/01/2013,2Q2015,06/30/2015
500151,613,8.26,0,17.47,3Q2013,07/01/2013,2Q2015,06/30/2015
500152,520,16.55,7.59,25.51,3Q2013,07/01/2013,2Q2015,06/30/2015
510001,1450,10.74,5.5,15.99,3Q2013,07/01/2013,2Q2015,06/30/2015
510002,112,8.63,0,19.14,3Q2013,07/01/2013,2Q2015,06/30/2015
510006,1168,7.13,2.23,12.03,3Q2013,07/01/2013,2Q2015,06/30/2015
510007,1026,11.08,4.36,17.8,3Q2013,07/01/2013,2Q2015,06/30/2015
510008,432,7.11,0,14.92,3Q2013,07/01/2013,2Q2015,06/30/2015
510012,67,13.16,1.5,24.81,3Q2013,07/01/2013,2Q2015,06/30/2015
510013,43,11.82,0,24.11,3Q2013,07/01/2013,2Q2015,06/30/2015
510022,2097,11.15,7.23,15.06,3Q2013,07/01/2013,2Q2015,06/30/2015
510023,327,15.11,7.07,23.15,3Q2013,07/01/2013,2Q2015,06/30/2015
510024,984,6.32,0,13.19,3Q2013,07/01/2013,2Q2015,06/30/2015
510029,598,12.93,6.37,19.5,3Q2013,07/01/2013,2Q2015,06/30/2015
510030,231,17.74,6.88,28.61,3Q2013,07/01/2013,2Q2015,06/30/2015
510031,822,8.82,1.86,15.78,3Q2013,07/01/2013,2Q2015,06/30/2015
510038,115,11.94,0,24.3,3Q2013,07/01/2013,2Q2015,06/30/2015
510039,315,20.27,10.37,30.17,3Q2013,07/01/2013,2Q2015,06/30/2015
510046,512,8.19,0,17.41,3Q2013,07/01/2013,2Q2015,06/30/2015
510047,67,12.1,0.91,23.28,3Q2013,07/01/2013,2Q2015,06/30/2015
510048,86,24.85,13.97,35.72,3Q2013,07/01/2013,2Q2015,06/30/2015
510050,14,13.39,0.31,26.47,3Q2013,07/01/2013,2Q2015,06/30/2015
510055,1146,9.68,3.36,16.01,3Q2013,07/01/2013,2Q2015,06/30/2015
510058,1183,11.59,5.38,17.79,3Q2013,07/01/2013,2Q2015,06/30/2015
510062,209,7.6,0,15.63,3Q2013,07/01/2013,2Q2015,06/30/2015
510070,358,19.02,11.05,27,3Q2013,07/01/2013,2Q2015,06/30/2015
