"ENROLLMENT ID","NPI"
O20021015000013,1952312043
O20021021000020,1306807193
O20021021000020,1336100767
O20021021000020,1356689004
O20021021000020,1700121894
O20021021000020,1851489330
O20021021000020,1891113965
O20021021000020,1952362741
O20021022000020,1114268471
O20021030000000,1154372381
O20021030000000,1285392936
O20021030000000,1629028600
O20021030000000,1992756118
O20021217000028,1629378880
O20021217000028,1700809761
O20021217000028,1821254129
O20021217000028,1871747659
O20021218000018,1962888016
O20030224000043,1124585013
O20030224000043,1558560904
O20030224000043,1629278353
O20030303000008,1629688429
O20030311000010,1689823866
O20030312000005,1760598700
O20030319000000,1336897735
O20030319000024,1063787851
O20030319000024,1073073250
O20030319000024,1134552003
O20030319000024,1144596479
O20030319000024,1235409236
O20030319000024,1346514015
O20030319000024,1376164129
O20030319000024,1407112642
O20030319000024,1427323690
O20030319000024,1447516687
O20030319000024,1710787916
O20030319000024,1750647905
O20030319000024,1801148861
O20030319000024,1821802117
O20030319000024,1841554151
O20030319000024,1962776989
O20030319000024,1982970828
O20030327000003,1962658302
O20030331000022,1003367491
O20030331000022,1295756898
O20030331000022,1700809027
O20030331000025,1679597108
O20030401000006,1023180502
O20030414000032,1972394583
O20030418000025,1578108478
O20030418000025,1780062273
O20030418000025,1821619479
O20030421000001,1184004236
O20030421000001,1750760740
O20030421000001,1760861751
O20030421000001,1831784636
O20030421000022,1730213653
O20030505000007,1174567184
O20030505000007,1699718775
O20030505000007,1750346243
O20030505000051,1205225646
O20030505000051,1306828108
O20030505000051,1477584894
O20030505000052,1063668937
O20030505000052,1275789091
O20030505000052,1447550702
O20030505000052,1508457045
O20030505000052,1588929079
O20030505000052,1619914207
O20030505000052,1629646211
O20030505000052,1962659094
O20030505000073,1619911179
O20030505000073,1881651990
O20030506000004,1083197214
O20030506000004,1215755400
O20030506000004,1285692145
O20030506000004,1417548959
O20030506000004,1447527767
O20030506000004,1598700528
O20030506000004,1609056100
O20030507000021,1487161576
O20030507000021,1548777634
O20030507000021,1770090862
O20030507000045,1336244797
O20030507000045,1538597703
O20030507000045,1639345341
O20030507000045,1992838288
O20030507000049,1356897706
O20030507000049,1437883667
O20030507000049,1528066685
O20030507000059,1437651221
O20030520000074,1700955796
O20030521000061,1780359687
O20030604000010,1164971800
O20030606000015,1104338052
O20030623000026,1063480531
O20030623000026,1114995677
O20030623000026,1609162098
O20030623000026,1912179219
O20030626000011,1548225360
O20030627000019,1184155426
O20030627000019,1770687857
O20030627000019,1861676298
O20030702000029,1184866956
O20030702000029,1336465038
O20030702000029,1477509776
O20030702000029,1538571914
O20030702000029,1568418861
O20030702000029,1649223603
O20030702000029,1730134891
O20030702000029,1740393032
O20030702000029,1891740957
O20030707000040,1578272266
O20030708000035,1548800154
O20030708000035,1720628332
O20030726000001,1396764353
O20030726000001,1700087590
O20030728000007,1588219117
O20030728000007,1982289690
O20030729000024,1396969499
O20030731000003,1124561758
O20030731000003,1275076325
O20030731000003,1285177337
O20030731000003,1467990465
O20030731000003,1871543215
O20030804000008,1427313048
O20030902000042,1013564517
O20030902000042,1093357907
O20030902000042,1124674932
O20030902000042,1215585377
O20030902000042,1285282350
O20030902000042,1295381002
O20030902000042,1306493879
O20030902000042,1336252295
O20030902000042,1457417966
O20030902000042,1467000539
O20030902000042,1477101541
O20030902000042,1477101608
O20030902000042,1477215663
O20030902000042,1487202552
O20030902000042,1487803383
O20030902000042,1497302871
O20030902000042,1528606316
O20030902000042,1538225297
O20030902000042,1568121622
O20030902000042,1598313553
O20030902000042,1609822030
O20030902000042,1669020731
O20030902000042,1679686992
O20030902000042,1700424595
O20030902000042,1710534292
O20030902000042,1730735531
O20030902000042,1740837137
O20030902000042,1760595086
O20030902000042,1801433867
O20030902000042,1851938815
O20030902000042,1922655422
O20030902000042,1922659044
O20030902000042,1942536990
O20030902000042,1942858014
O20030902000042,1992353064
O20030915000012,1003170937
O20030915000012,1013384809
O20030915000012,1033491741
O20030915000012,1063708501
O20030915000012,1093555120
O20030915000012,1104682061
O20030915000012,1144301102
O20030915000012,1154617694
O20030915000012,1235215427
O20030915000012,1245632231
O20030915000012,1275832164
O20030915000012,1275850620
O20030915000012,1417231937
O20030915000012,1427344969
O20030915000012,1457181422
O20030915000012,1457650343
O20030915000012,1467748475
O20030915000012,1659762862
O20030915000012,1669768289
O20030915000012,1770879215
O20030915000012,1790128254
O20030915000012,1801418306
O20030915000012,1851508162
O20030915000012,1982037966
O20030915000012,1982988408
O20030923000057,1235792003
O20031002000014,1235488438
O20031002000034,1003319500
O20031002000034,1184708992
O20031002000034,1477622595
O20031002000034,1811041692
O20031008000041,1356415699
O20031010000007,1699191999
O20031010000010,1558054684
O20031013000032,1548328610
O20031015000023,1851833230
O20031015000025,1306821798
O20031015000025,1417000837
O20031015000025,1487707964
O20031021000001,1689627655
O20031021000001,1952348021
O20031023000018,1710748538
O20031024000017,1083461438
O20031024000017,1265072706
O20031024000017,1457148140
O20031024000017,1740820356
O20031024000017,1922648534
O20031107000200,1043455199
O20031111000665,1225372923
O20031111000665,1376593442
O20031111000665,1467468173
O20031111000665,1497090138
O20031111000665,1952959603
O20031117000168,1033628243
O20031117000573,1023875424
O20031117000573,1053774638
O20031117000573,1144683723
O20031117000573,1215398813
O20031117000573,1376104125
O20031117000573,1487015988
O20031117000573,1508227109
O20031117000573,1679934277
O20031117000573,1689037269
O20031117000573,1700247301
O20031117000573,1710348214
O20031117000573,1730540238
O20031117000573,1750742359
O20031117000573,1952762551
O20031118001017,1801340781
O20031119000750,1013325281
O20031119000750,1134162597
O20031119000750,1295738920
O20031119000750,1336131010
O20031119000750,1386649374
O20031119000750,1447255328
O20031119000750,1497757785
O20031119000750,1588668396
O20031119000750,1639173222
O20031119000750,1811999113
O20031119000750,1821091851
O20031119000750,1841293149
O20031119000750,1972507440
O20031201000671,1902948896
O20031212000352,1194104687
O20031215000355,1104991801
O20031215000355,1194521302
O20031215000355,1780750620
O20031215000355,1780752378
O20031217000637,1083869390
